cluster_id,k,cv_mse_mean,cv_rmse_mean,cv_r2_mean,cv_mae_mean,cv_rmspe_mean,cv_rmspe_std,cv_mape_mean,cv_qlike_mean
0,3,6.621851098277073e-08,0.0002567820023616137,0.9669263159265341,0.00017319774434685413,0.09212559192390789,0.0030468205125768256,0.07245956381120934,0.004232791484890104
0,5,5.998973423422658e-08,0.00024458725479613547,0.9699953824915433,0.00016369086255640228,0.08728421566921898,0.0029614287569158116,0.06850151623914984,0.003801241380570769
0,10,5.4386248690622346e-08,0.00023259320630494626,0.972727255915299,0.0001560871489821833,0.0834564314876253,0.003346581577939209,0.06526771442654271,0.0034814649330051203
0,20,5.3230969397681785e-08,0.0002302371355307897,0.9732731042850545,0.00015284139271438873,0.08204489112730658,0.003479084941917361,0.06380781322097015,0.0033728007345599784
0,40,5.400918612395228e-08,0.00023188908126825798,0.9729128711151857,0.00015312369755266368,0.0821353413692808,0.0033634080890661213,0.06371488613272551,0.0033797256332268417
0,80,5.7018888026624826e-08,0.0002382030130291677,0.9714003534567567,0.00015543099724677455,0.08327344633228734,0.003933738757558952,0.06426762061086075,0.0034673521427092354
1,3,1.7106836488143807e-08,0.00012998188236378036,0.9803819157834528,8.216104240111574e-05,0.07176853443962176,0.0019474683259336812,0.05560852008910514,0.002630560877864681
1,5,1.5891863965019896e-08,0.00012545076010082385,0.9817984562947999,7.856800039462476e-05,0.0686619797605638,0.0021464567252459286,0.05299710859064444,0.0024326741242034306
1,10,1.5306335767974832e-08,0.00012312494040037672,0.982415276882144,7.610449351515985e-05,0.06626354957794384,0.0025153369633061236,0.050976769300975076,0.00228229042113486
1,20,1.633049338340334e-08,0.00012712512514007098,0.9812510852127886,7.738983661656147e-05,0.06672687458669417,0.002493287070927263,0.05107618155853562,0.002319634835477091
1,40,1.8334926753892322e-08,0.00013463753663663813,0.9789050792317804,7.942996822098085e-05,0.06775586570694911,0.0026773731554306603,0.05164443891072505,0.0023962798182567907
1,80,2.0674970887548133e-08,0.0001430092045074882,0.9761895560580875,8.268129329103835e-05,0.06963029216531735,0.002946092685260795,0.053003970776825525,0.002538115267524643
2,3,6.64894813162361e-08,0.00025762274436543793,0.9160405060147306,0.00018021654305828483,0.19938680774893555,0.011881940729161381,0.15161193421209132,0.018865110179296107
2,5,5.939053794219975e-08,0.00024344286530189255,0.9251118354344616,0.0001702232081942085,0.18926705514838718,0.010232594948475341,0.14355722522873476,0.01704695370201393
2,10,5.498770473752216e-08,0.0002341962597357096,0.930722801264521,0.00016241465379766766,0.18053825434352078,0.008215290476685145,0.13645503635743422,0.015591441211160309
2,20,5.37556726288512e-08,0.0002315663711432959,0.9322404607027621,0.00016015911126571859,0.17822968795257355,0.006234577568092169,0.134715600184438,0.015133814523533878
2,40,5.352200857463225e-08,0.00023109742503473707,0.9324881847707378,0.00015951720622105523,0.17623086490100853,0.005988950522156774,0.13367538694488432,0.014743724266495662
2,80,5.3652836931543864e-08,0.00023139328668330506,0.9323009463811257,0.0001597260669338215,0.1765634016408964,0.005560192996418729,0.13391460747463668,0.014662974574536577
