stock_id,cluster_id
0,4
1,4
2,0
3,4
4,4
5,4
6,0
7,4
8,4
9,4
10,0
11,4
13,1
14,0
15,4
16,4
17,0
18,4
19,4
20,0
21,2
22,4
23,4
26,4
27,4
28,4
29,0
30,4
31,1
32,2
33,4
34,0
35,3
36,0
37,4
38,4
39,0
40,4
41,2
42,4
43,0
44,3
46,1
47,2
48,4
50,0
51,0
52,0
53,0
55,4
56,0
58,4
59,4
60,4
61,0
62,4
63,3
64,0
66,4
67,0
68,4
69,0
70,4
72,4
73,0
74,1
75,4
76,0
77,2
78,4
80,4
81,4
82,4
83,4
84,0
85,3
86,3
87,4
88,4
89,3
90,4
93,0
94,4
95,0
96,0
97,4
98,4
99,3
100,4
101,4
102,4
103,4
104,4
105,3
107,4
108,2
109,0
110,4
111,2
112,4
113,4
114,0
115,4
116,4
118,4
119,3
120,0
122,4
123,0
124,3
125,1
126,4
