feature,importance
stock_id_cat,4802
market_rv_mean,2318
market_rv_std,1347
stock_vs_market,958
rv_trend,751
rv_level,736
spread_adj_rv,718
return_sum,625
spread_trend,557
mean_spread_b2,545
rv_range,520
rv_accel,512
return_abs_b2,474
realized_vol_b0,449
spread_accel,449
mean_spread_b0,446
log_vol_trend,435
rv_min,429
spread_mean,424
realized_vol_b2,399
volume_accel,398
rv_max,388
volume_trend,369
return_abs_b1,363
vol_times_volume,353
amihud_b2,343
return_abs_sum,334
realized_vol_b1,330
spread_max,327
log_return_b2,317
log_return_b1,315
amihud_b1,303
mean_spread_b1,289
amihud_b0,286
return_trend,282
return_abs_b0,274
total_volume_b0,273
total_volume_b2,261
total_volume_b1,259
log_return_b0,230
volume_total,211
volume_max,199
snr_b1,161
log_rv_b2,156
log_rv_b0,148
log_rv_b1,85
log_vol_b0,78
spread_level,66
volume_level,55
direction_consistent,53
log_vol_b2,51
log_vol_b1,8
return_sign_b0,7
return_sign_b1,7
noise_floor,5
log_noise_floor,4
return_sign_b2,0
