fold_id,feature,coefficient
0,intercept,-1.0619378903677186
0,log_rv_0_480,0.6502066606735175
0,log_rv_240_480,0.15052810585726123
0,log_rv_360_480,0.1257121931409596
1,intercept,-1.0737997544360254
1,log_rv_0_480,0.6579090365557514
1,log_rv_240_480,0.15560939355464495
1,log_rv_360_480,0.11250042388447368
2,intercept,-1.07018575635879
2,log_rv_0_480,0.6528169751325223
2,log_rv_240_480,0.15285004092541346
2,log_rv_360_480,0.12007905925120843
3,intercept,-1.0676270908308891
3,log_rv_0_480,0.654570101495915
3,log_rv_240_480,0.1594891228011168
3,log_rv_360_480,0.11268701439120976
4,intercept,-1.0604086015570788
4,log_rv_0_480,0.6389988107752516
4,log_rv_240_480,0.17606578925592423
4,log_rv_360_480,0.11193212336547032
